Name,Desc,Category,url
0xScope,"0xScope built the leading AI Data Layer for Web3 AI applications, enabling community-driven and in-house Web3 AI products like Scopechat and Scopescan.",DATA SERVICE,https://www.0xscope.com/?ch=linea
0xScore,0xScore is a web3 reputational tool for wallets based on their on-chain activity. It allows you to analyze and compare wallets to understand their reputation and power.,"DATA SERVICE
GASPASS ENABLED",https://0xscore.io/
20lab,"20lab - The most customizable ERC-20 token generator. Note: final contracts for tokens are not audited, we strongly advise users to run a security audit before sharing",DEV TOOLS,https://20lab.app/
4Everland,"An IPFS, Arweave, Dfinity and BNB greenfield storage and hosting solution.",DEV TOOLS,https://www.4everland.org/
API3,The API3 token is the fundamental unit of the Web3 API economy.,DATA SERVICE,https://api3.org/
Aarc,"At Aarc, our goal is to simplify the usage of user accounts for blockchain use cases, providing a smooth and user-friendly experience for Web 3.0 applications.",INFRA,https://aarc.xyz/
Abracadabra Money,Abracadabra.money is a leverage and lending platform that uses interest-bearing tokens (ibTKNs) as collateral to borrow the omnistablecoin MIM.,DEFI,https://abracadabra.money/
AirSwap,"AirSwap is an open-source community that powers the original peer-to-peer DEX: trustless, efficient swaps without slippage or counter-party risk.",DEFI,https://www.airswap.io/
Algebra,"A Protocol fueling DEXes with Concentrated Liquidity.  Our tech harnesses the unique V3 & V4 features, including dynamic fees, built-in farming, limit orders & more, through custom plugins.",DEFI,https://algebra.finance/
AlienSwap,"AlienSwap is the first multi-chain NFT infrastructure that fully supports NFT code-less creation, zero gas minting, NFT LaunchPad, and trading. We aim to build the leading NFT trading layer!","NFT
GASPASS ENABLED",https://alienswap.xyz/
AlphaWallet,AlphaWallet is the only self-custodial Ethereum network web3 wallet that’s completely open source for iOS and Android.,WALLET,https://alphawallet.com/
AltLayer,AltLayer is a decentralized and elastic Rollup-as-a-Service (RaaS) protocol for application developers to launch highly scalable application-tailored execution layers (aka Layer 2s).,"INFRA
DEV TOOLS",https://dashboard.alt.technology/
Angle Protocol,"Angle is a stablecoin protocol that launched agEUR, the most liquid Euro stablecoin. With Angle you can own, borrow, spend and earn stablecoins onchain.",DEFI,https://www.angle.money/
ApeWorx,"Ape Framework is an easy-to-use Web3 development tool. Users can compile, test, and interact with smart contracts all in one command line session.",DEV TOOLS,https://www.apeworx.io/
Arcana Network,"Onboard users with social logins and offer an embedded wallet in your app without installation. Wallets are non-custodial, decentralized, and secured by DKG nodes. Arcana Auth is completely free to use.",WALLET,https://www.arcana.network/
Artemis Analytics,Artemis aggregates all the metrics that matter across L1/L2s so you can compare Linea vs other zkEVM rollups,DEV TOOLS,https://app.artemis.xyz/dashboard/linea
AsMatch,AsMatch delivers and rewards real social connections with the world's first Web3 SocialFi app for crypto enthusiasts based on the zk-proof technology.,SOCIAL,https://asmatch.app/
Asterizm,The 1st enterprise-grade blockchain interop protocol providing a plug & play infr with no off-chain consensus model and privacy at the core.,INFRA,https://linea.build/docs.asterizm.io
Automata,Automata is a middleware protocol focused on protecting privacy and fairness in Web3.,INFRA,https://www.ata.network/
Axelar,"Axelar delivers secure cross-chain communication for Web3. Our infrastructure enables dApp users to interact with any asset or application, on any chain, with one click.",INFRA,https://axelar.network/
Aya,"Aya is an oracle-like developer utility that brings provably fair, generative AI agents to decentralized gaming and DeFi using ZK-AI bots.",DEV TOOLS,https://www.aya.network/
Azuro,Azuro is the betting & gambling layer for web3,INFRA,https://azuro.org/
B4B,"B4B.app is a Web3 influencer Ad platform, which helps projects amplify through verified crypto influencers on Twitter or Telegram with escrow USDC payments",SOCIAL,https://b4b.app/
Banxa,Banxa is the leading fiat-crypto infrastructure provider for enabling embedded crypto.,BRIDGE,https://banxa.com/
Battlemon,"Battlemon is a GameFi ecosystem built around interactive 3D NFTs with utilities and on-chain mechanics with outcome probabilities.  Mint, craft, play, stake - and get rewarded","ENTERTAINMENT
GASPASS ENABLED",https://battlemon.com/
Beefy,"Beefy automates yield farming to make DeFi safe, easy and efficient for all. We deliver multichain yields to you using scale to unlock higher returns. Beefy is a globally-distributed DAO.",DEFI,https://beefy.com/
